VH - VHS
DF - PDF
HP - PHP
OH - OHIO
XO - SEXO
XB - XBOX
HZ - MHZ, GHZ
UY - BUY, GUY
WW - WWW, WWW
MT - GMT, MTV
TD - LTD, STD
ZU - ZUM, ZUS
XX - XXX, XNXX
OI - OIL, OILS
LP - LLP, HELP
VD - DVD, BLVD
ZZ - JAZZ, BUZZ
SD - USD, FREEBSD
SR - USR, SRC, SRI
BC - BBC, ABC, NBC
IZ - BIZ, LIZ, QUIZ
TP - FTP, HTTP, SMTP
VS - CVS, TVS, VSNET
QL - SQL, QLD, MYSQL
PG - JPG, RPG, MPG, PGP
DT - PDT, EDT, CDT, DTS
PD - PDF, PDA, PDT, PDAS
DD - ADD, ODD, DDR, TODD
PM - RPM, PMC, PPM, PMID
LC - LLC, LCD, PLC, OCLC
EI - EIGHT, EITHER, BRUNEI
PC - PCS, PCI, PPC, PCT, UPC
VY - NAVY, LEVY, HEAVY, CHEVY
ML - XML, MLB, MLS, HTML, XHTML
KO - KONG, KOREA, KODAK, KOREAN
NN - INN, ANN, CNN, LYNN, PENN, GLENN
LM - FILM, PALM, CALM, REALM, STOCKHOLM
AA - AAA, AAA, NCAA, NCAA, AARON, AARON
OA - OAK, SOA, OAKS, OASIS, SAMOA, OAKLAND
SQ - SQL, SQUAD, SQUARE, SQUIRT, SQUIRTING
UA - AQUA, PAPUA, JOSHUA, ANTIGUA, NICARAGUA
EK - WEEK, SEEK, TREK, GEEK, CREEK, GREEK, DEREK
EB - WEB, FEB, EBAY, EBONY, EBOOK, EBOOKS, VOYEURWEB
OO - TOO, ZOO, OOO, FOO, OOPS, YAHOO, KELKOO, TATTOO
EO - CEO, SEO, LEO, GEO, NEO, EOS, TREO, VIDEO, STEREO
ZO - ZOO, ZONE, ZOOM, ZOPE, ZONES, ZONING, ZOLOFT, ZOOPHILIA
MP - MPH, AMP, JUMP, CAMP, PUMP, MPEG, LAMP, TEMP, COMP, STAMP
SK - ASK, SKI, SKY, RISK, SKIN, SKIP, TASK, DISK, DESK, SKILLS
SA - USA, SAY, SAN, SAID, SAME, SAVE, SALE, SAYS, SALES, SAFETY
GN - GNU, SIGN, GNOME, ALIGN, DESIGN, ASSIGN, FOREIGN, CAMPAIGN
YA - YARD, YALE, YANG, YARN, YAHOO, YARDS, KENYA, YACHT, YAMAHA
UR - OUR, URL, EUR, YOUR, FOUR, TOUR, HOUR, URBAN, COLOUR, AMATEUR
AN - AND, CAN, ANY, JAN, MAN, THAN, PLAN, HUMAN, ANOTHER, AMERICAN
YE - YES, YET, EYE, AYE, YEA, YEAR, YEAH, YEARS, YELLOW, YESTERDAY
NO - NOT, NOW, NON, NOV, NOTE, NONE, NORTH, NOTES, NOTICE, NOVEMBER
NE - NEW, ONE, NEWS, NEXT, NEED, LINE, JUNE, PHONE, ONLINE, NETWORK
TH - THE, THAT, THIS, WITH, THEY, THAN, THEIR, THERE, THESE, HEALTH
MA - MAY, MAP, MAN, MAKE, MANY, MAIL, MADE, MAIN, MARKET, MANAGEMENT
AR - ARE, CAR, ART, WAR, YEAR, AREA, STAR, AROUND, ARTICLE, ARTICLES
TO - TOP, TOO, INTO, AUTO, TODAY, PHOTO, TOTAL, TOOLS, TOPIC, TOPICS
IT - ITS, BIT, ITEM, EDIT, UNIT, ITEMS, VISIT, ITALY, CREDIT, SUBMIT
WH - WHO, WHY, WHAT, WHEN, WHICH, WHERE, WHILE, WHITE, WHOLE, WHETHER
EP - SEP, EPA, REP, KEEP, STEP, DEEP, SLEEP, EPSON, EPISODE, EPINIONS
SN - MSN, ASN, MSN, SNOW, SNAP, ISSN, SNOW, SNAKE, SNAPSHOT, SNOWBOARD
HI - HIS, HIM, HIT, HIGH, HILL, HITS, HIGHER, HIGHLY, HISTORY, HIGHEST
EN - END, WHEN, BEEN, THEN, EVEN, OPEN, TEEN, WOMEN, BETWEEN, CHILDREN
