IES - CITIES, TRIES, PARTIES, ENTRIES, STORIES, PANTIES, AMENITIES
ENT - PLACEMENT, ELEMENT, RECENT, DEPARTMENT, RETIREMENT, AGREEMENT, REPLACEMENT
TED - RATED, CREATED, TREATED, OPERATED, ORIENTED, RELATED, SORTED
ERS - WATERS, POSTERS, ORDERS, PARTNERS, READERS, OTHERS, MASTERS
TER - EASTER, ENTER, MASTER, LATER, ALTER, PETER, METER
ING - RATING, STRING, THING, DATING, BRING, TRYING, DOING
NTS - PARENTS, PATENTS, PATIENTS, PAYMENTS, AGENTS, ARGUMENTS, APARTMENTS
ION - SECTION, ACTION, EDITION, NATION, STATION, AUCTION, EDUCATION
NCE - REFINANCE, FRANCE, TRANCE, ENTRANCE, FINANCE, TOLERANCE, SILENCE
ITY - ABILITY, UTILITY, REALITY, STABILITY, BESTIALITY, EQUALITY, FACILITY
ONS - SECTIONS, ACTIONS, RELATIONS, STATIONS, EDITIONS, NATIONS, AUCTIONS
